,SampleID,Generation,average_genome_size,rl,Group
1,A1,Phase 2,5.314017203,3.980282837,C
2,A2,Phase 2,5.072843862,3.990718901,C
3,A3,Phase 2,5.146879759,4.029696805,C
4,A4,Phase 2,5.205517981,3.72014588,C
5,B1,Phase 2,5.283775714,3.729692949,C
6,B2,Phase 2,5.258415626,4.000339071,C
7,B3,Phase 2,5.257238058,3.750815301,C
8,B4,Phase 2,4.919755026,3.427620663,C
9,C1,Phase 3,5.25283742,4.754325395,C
10,C2,Phase 3,5.742448811,4.934836384,C
11,C3,Phase 3,5.625348532,5.07492249,C
12,C4,Phase 3,5.084343996,4.755879328,C
13,D1,Phase 3,6.056493659,4.742470151,C
14,D2,Phase 3,6.464517295,4.795947658,C
15,D3,Phase 3,7.501037311,5.06351446,C
16,D4,Phase 3,5.221954642,4.795138605,C
17,E1,Phase 4,11.81740116,4.844933526,C
18,E2,Phase 4,9.046030421,4.354580089,C
19,E3,Phase 4,9.11039389,4.552934028,C
20,E4,Phase 4,9.041570852,4.459235826,C
21,F1,Phase 4,5.14756879,4.216038159,C
22,F2,Phase 4,5.959178766,4.825525873,C
23,F3,Phase 4,5.75850912,4.532491813,C
24,F4,Phase 4,5.235283615,4.319164214,C
25,A1,Phase 2,5.314017203,0.661776158,N
26,A2,Phase 2,5.072843862,0.651924728,N
27,A3,Phase 2,5.146879759,0.67009391,N
28,A4,Phase 2,5.205517981,0.606894365,N
29,B1,Phase 2,5.283775714,0.60440981,N
30,B2,Phase 2,5.258415626,0.674451458,N
31,B3,Phase 2,5.257238058,0.626681036,N
32,B4,Phase 2,4.919755026,0.576804645,N
33,C1,Phase 3,5.25283742,0.671501492,N
34,C2,Phase 3,5.742448811,0.648399616,N
35,C3,Phase 3,5.625348532,0.645991496,N
36,C4,Phase 3,5.084343996,0.655688911,N
37,D1,Phase 3,6.056493659,0.679797276,N
38,D2,Phase 3,6.464517295,0.671122355,N
39,D3,Phase 3,7.501037311,0.718738603,N
40,D4,Phase 3,5.221954642,0.687743729,N
41,E1,Phase 4,11.81740116,0.683033664,N
42,E2,Phase 4,9.046030421,0.669562417,N
43,E3,Phase 4,9.11039389,0.685116195,N
44,E4,Phase 4,9.041570852,0.678499277,N
45,F1,Phase 4,5.14756879,0.594661411,N
46,F2,Phase 4,5.959178766,0.62859689,N
47,F3,Phase 4,5.75850912,0.644350661,N
48,F4,Phase 4,5.235283615,0.649835536,N
49,A1,Phase 2,5.314017203,1.144260435,P
50,A2,Phase 2,5.072843862,1.156490851,P
51,A3,Phase 2,5.146879759,1.151692624,P
52,A4,Phase 2,5.205517981,1.076177861,P
53,B1,Phase 2,5.283775714,1.067766687,P
54,B2,Phase 2,5.258415626,1.161389215,P
55,B3,Phase 2,5.257238058,1.087195611,P
56,B4,Phase 2,4.919755026,1.001179913,P
57,C1,Phase 3,5.25283742,1.252909623,P
58,C2,Phase 3,5.742448811,1.263297664,P
59,C3,Phase 3,5.625348532,1.264961572,P
60,C4,Phase 3,5.084343996,1.326345271,P
61,D1,Phase 3,6.056493659,1.266954331,P
62,D2,Phase 3,6.464517295,1.265107818,P
63,D3,Phase 3,7.501037311,1.426800468,P
64,D4,Phase 3,5.221954642,1.234416374,P
65,E1,Phase 4,11.81740116,1.328993797,P
66,E2,Phase 4,9.046030421,1.172771753,P
67,E3,Phase 4,9.11039389,1.227907377,P
68,E4,Phase 4,9.041570852,1.310732817,P
69,F1,Phase 4,5.14756879,1.05727907,P
70,F2,Phase 4,5.959178766,1.181915405,P
71,F3,Phase 4,5.75850912,1.116491396,P
72,F4,Phase 4,5.235283615,1.100864893,P
73,A1,Phase 2,5.314017203,0.601409614,S
74,A2,Phase 2,5.072843862,0.606271337,S
75,A3,Phase 2,5.146879759,0.610343196,S
76,A4,Phase 2,5.205517981,0.561168336,S
77,B1,Phase 2,5.283775714,0.549839464,S
78,B2,Phase 2,5.258415626,0.61212466,S
79,B3,Phase 2,5.257238058,0.573499576,S
80,B4,Phase 2,4.919755026,0.526351632,S
81,C1,Phase 3,5.25283742,0.55120924,S
82,C2,Phase 3,5.742448811,0.524648618,S
83,C3,Phase 3,5.625348532,0.495348191,S
84,C4,Phase 3,5.084343996,0.542682845,S
85,D1,Phase 3,6.056493659,0.58260204,S
86,D2,Phase 3,6.464517295,0.542313453,S
87,D3,Phase 3,7.501037311,0.643073645,S
88,D4,Phase 3,5.221954642,0.560366683,S
89,E1,Phase 4,11.81740116,0.548342373,S
90,E2,Phase 4,9.046030421,0.530527292,S
91,E3,Phase 4,9.11039389,0.56322095,S
92,E4,Phase 4,9.041570852,0.578641467,S
93,F1,Phase 4,5.14756879,0.452159927,S
94,F2,Phase 4,5.959178766,0.489936159,S
95,F3,Phase 4,5.75850912,0.487937999,S
96,F4,Phase 4,5.235283615,0.499356986,S
97,A1,Phase 2,5.314017203,0.039801438,PPI
98,A2,Phase 2,5.072843862,0.035155248,PPI
99,A3,Phase 2,5.146879759,0.036547086,PPI
100,A4,Phase 2,5.205517981,0.031565972,PPI
101,B1,Phase 2,5.283775714,0.033765834,PPI
102,B2,Phase 2,5.258415626,0.032433513,PPI
103,B3,Phase 2,5.257238058,0.029000621,PPI
104,B4,Phase 2,4.919755026,0.033541688,PPI
105,C1,Phase 3,5.25283742,0.090980783,PPI
106,C2,Phase 3,5.742448811,0.140120573,PPI
107,C3,Phase 3,5.625348532,0.125832864,PPI
108,C4,Phase 3,5.084343996,0.079289662,PPI
109,D1,Phase 3,6.056493659,0.267684816,PPI
110,D2,Phase 3,6.464517295,0.230911082,PPI
111,D3,Phase 3,7.501037311,0.367962078,PPI
112,D4,Phase 3,5.221954642,0.200794609,PPI
113,E1,Phase 4,11.81740116,0.479746894,PPI
114,E2,Phase 4,9.046030421,0.44281639,PPI
115,E3,Phase 4,9.11039389,0.523970169,PPI
116,E4,Phase 4,9.041570852,0.470345164,PPI
117,F1,Phase 4,5.14756879,0.298009624,PPI
118,F2,Phase 4,5.959178766,0.528793328,PPI
119,F3,Phase 4,5.75850912,0.319006005,PPI
120,F4,Phase 4,5.235283615,0.20827925,PPI
